Temperature(F),BPM
83.97,0
84.09,0
84.09,0
84.09,0
84.09,0
84.09,0
83.97,0
84.09,0
84.20,0
84.09,0
84.20,0
84.09,0
84.09,0
84.09,0
84.09,0
84.09,0
84.09,0
84.09,0
84.31,0
84.20,0
84.20,0
84.20,0
77.00,0
84.20,0
77.00,0
84.09,0
77.00,67
84.31,130
84.20,130
84.20,130
84.31,67
84.31,82
84.31,82
77.00,82
84.31,82
84.42,82
84.31,82
77.00,82
77.00,0
84.54,0
84.42,0
84.42,0
84.42,0
77.00,0
77.00,90
84.54,107
84.54,107
84.65,107
84.65,75
84.65,74
84.65,59
